,ID_TRAMO,total_samples,min_diff,max_diff,mean_diff,median_diff,std_diff,significant_deviations,deviation_rate
305,306,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
306,307,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
307,308,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
308,309,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
309,310,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
310,311,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
311,312,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
312,313,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
313,314,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
314,315,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
315,316,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
316,317,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
317,318,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
318,319,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
319,320,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
320,321,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
321,322,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
322,323,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
323,324,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
324,325,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
325,326,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
326,327,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
327,328,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
328,329,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
329,330,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
330,331,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
331,332,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
332,333,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
333,334,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
334,335,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
335,336,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
336,337,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
337,338,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
338,339,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
339,340,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
340,341,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
341,342,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
342,343,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
343,344,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
344,345,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
345,346,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
346,347,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
347,348,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
348,349,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
349,350,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
350,351,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
351,352,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
352,353,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
353,354,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
354,355,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
355,356,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
356,357,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
357,358,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
358,359,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
359,360,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
360,361,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
361,362,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
362,363,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
363,364,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
364,365,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
365,366,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
366,367,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
367,368,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
368,369,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
369,370,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
370,371,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
371,372,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
372,373,379,4.85,5.116666666666666,5.0,5.0,0.032368883333333334,0,0.0
373,374,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
374,375,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
375,376,380,4.85,5.116666666666666,5.0,5.0,0.03232605,0,0.0
